run_name,app_time,total_mpi_time,mpi_Allgather,mpi_Allgatherv,mpi_Allreduce,mpi_Barrier,mpi_Bcast,mpi_Comm_create,mpi_Comm_free,mpi_Comm_group,mpi_Group_free,mpi_Group_incl,mpi_Iprobe,mpi_Irecv,mpi_Isend,mpi_Recv,mpi_Scan,mpi_Send,mpi_Test,mpi_Testall,mpi_Wait,mpi_Waitall
amg-3290337,3.808594e+02,2.382812e+02,8.994375e-05,2.484158e-03,2.945493e+01,1.990000e-03,1.781920e-01,2.635000e-02,3.805312e-05,1.295000e-03,2.055000e-03,1.450000e-03,2.280555e+01,3.311547e+01,4.097153e+01,4.839399e+00,5.452320e-01,1.829525e+00,8.330216e+00,2.826975e+00,9.312091e-02,9.375831e+01
amg-2935464,3.828125e+02,2.441406e+02,9.676641e-05,2.523566e-03,3.032272e+01,1.440000e-03,1.901283e-01,3.310000e-02,3.611764e-05,1.335000e-03,2.120000e-03,1.455000e-03,2.343728e+01,3.371144e+01,4.353737e+01,4.846206e+00,5.739387e-01,1.894359e+00,8.660629e+00,2.872388e+00,9.505983e-02,9.322744e+01
amg-3085632,3.828125e+02,2.421875e+02,9.344863e-05,2.507549e-03,3.165574e+01,2.163613e-03,2.062571e-01,3.612256e-02,3.618045e-05,1.274707e-03,2.045322e-03,1.497539e-03,2.305603e+01,3.271118e+01,4.045089e+01,4.831507e+00,6.150231e-01,1.816993e+00,8.448329e+00,2.824285e+00,9.271998e-02,9.486699e+01
amg-3092951,3.828125e+02,2.421875e+02,9.154297e-05,2.573991e-03,3.154890e+01,1.840000e-03,2.028402e-01,3.535000e-02,3.590332e-05,1.280000e-03,2.040000e-03,1.500000e-03,2.295248e+01,3.320072e+01,4.070321e+01,4.890463e+00,5.990310e-01,1.815383e+00,8.430156e+00,2.828236e+00,9.282036e-02,9.426334e+01
amg-3098435,3.828125e+02,2.402344e+02,9.786875e-05,2.697944e-03,3.035725e+01,2.100000e-03,1.981190e-01,3.585000e-02,3.718139e-05,1.275000e-03,2.040000e-03,1.510000e-03,2.287053e+01,3.293063e+01,4.051820e+01,4.847844e+00,5.914000e-01,1.814407e+00,8.380226e+00,2.849995e+00,9.255432e-02,9.577619e+01
amg-3115487,3.828125e+02,2.421875e+02,9.384492e-05,2.704541e-03,3.074750e+01,1.890000e-03,2.001636e-01,3.450000e-02,3.646668e-05,1.295000e-03,2.055000e-03,1.520000e-03,2.290228e+01,3.288714e+01,4.063148e+01,4.874258e+00,5.981220e-01,1.814802e+00,8.362146e+00,2.832422e+00,9.220666e-02,9.579439e+01
amg-3131106,3.828125e+02,2.402344e+02,9.525410e-05,2.672477e-03,3.037093e+01,2.140000e-03,1.959520e-01,3.485000e-02,3.660662e-05,1.275000e-03,2.035000e-03,1.465000e-03,2.270779e+01,3.284471e+01,4.058955e+01,4.877345e+00,5.860800e-01,1.815838e+00,8.324776e+00,2.820111e+00,9.264821e-02,9.530442e+01
amg-3137176,3.828125e+02,2.421875e+02,9.230937e-05,2.645619e-03,3.055352e+01,1.700000e-03,1.984205e-01,3.330000e-02,3.578047e-05,1.290000e-03,2.045000e-03,1.555000e-03,2.290537e+01,3.314974e+01,4.062816e+01,4.874049e+00,5.881539e-01,1.822494e+00,8.394043e+00,2.851061e+00,9.222223e-02,9.630213e+01
amg-3141837,3.828125e+02,2.402344e+02,9.651719e-05,2.611591e-03,3.130969e+01,2.740000e-03,1.953270e-01,3.545000e-02,3.674578e-05,1.275000e-03,2.050000e-03,1.510000e-03,2.268375e+01,3.273387e+01,4.058769e+01,4.818425e+00,6.333330e-01,1.823303e+00,8.349187e+00,2.771140e+00,9.263256e-02,9.530493e+01
amg-3171473,3.828125e+02,2.402344e+02,1.019719e-04,2.787962e-03,3.115095e+01,1.845762e-03,2.008899e-01,3.595303e-02,3.837355e-05,1.279912e-03,2.044600e-03,1.546318e-03,2.303320e+01,3.275652e+01,4.055654e+01,4.889405e+00,6.224137e-01,1.816639e+00,8.439140e+00,2.814522e+00,9.242276e-02,9.424457e+01
amg-3174563,3.828125e+02,2.421875e+02,9.539062e-05,2.588555e-03,3.056642e+01,1.770000e-03,1.953600e-01,3.480000e-02,3.689883e-05,1.275000e-03,2.045000e-03,1.485000e-03,2.279567e+01,3.271020e+01,4.057588e+01,4.828953e+00,5.665440e-01,1.828732e+00,8.428917e+00,2.792614e+00,9.264821e-02,9.634043e+01
