app_name,run_time,job_id,runtime
deepCAM,2025-04-04_11-01-09,37450207,149.42863999999977
deepCAM,2025-04-04_11-45-04,37460195,149.06358999999978
deepCAM,2025-04-04_21-19-16,37474082,148.4385400000001
deepCAM,2025-04-05_04-38-28,37485591,150.12266000000008
deepCAM,2025-04-05_10-35-18,37488999,148.5140900000001
deepCAM,2025-04-06_01-46-02,37494378,150.2780900000002
deepCAM,2025-04-06_04-06-44,37502640,147.63375000000008
deepCAM,2025-04-06_10-18-33,37509579,147.95351999999986
deepCAM,2025-04-07_12-47-29,37523385,149.10040999999984
deepCAM,2025-04-07_16-43-17,37529380,148.72930999999988
deepCAM,2025-04-07_19-19-52,37551497,150.81214000000006
deepCAM,2025-04-08_07-14-45,37561865,147.57054999999997
deepCAM,2025-04-08_13-07-58,37570463,148.21376999999978
deepCAM,2025-04-08_19-26-57,37589370,148.52473
deepCAM,2025-04-09_01-11-51,37597351,147.76782000000017
deepCAM,2025-04-09_10-32-05,37604632,147.63569000000047
nanoGPT,2025-02-09_15-32-29,35646066,276.2956700000001
nanoGPT,2025-02-11_14-19-34,35707252,276.51276999999993
nanoGPT,2025-02-16_19-35-42,35921838,282.01727000000005
nanoGPT,2025-02-18_03-43-52,35952853,316.56846
nanoGPT,2025-02-18_22-25-52,35992800,267.64968999999996
nanoGPT,2025-02-20_21-21-28,36051007,278.08594999999997
nanoGPT,2025-02-22_02-57-57,36083481,277.67884
nanoGPT,2025-02-23_03-16-14,36103722,275.22047999999995
nanoGPT,2025-02-23_16-38-45,36161246,275.88648
nanoGPT,2025-02-24_18-29-19,36211902,278.77606999999995
nanoGPT,2025-03-03_07-20-17,36421204,340.9422899999999
nanoGPT,2025-03-03_10-05-30,36425583,288.0652099999999
nanoGPT,2025-03-03_11-20-56,36430111,278.07747
nanoGPT,2025-03-04_06-41-25,36440359,339.20984000000004
nanoGPT,2025-03-04_07-02-00,36454572,311.38606
nanoGPT,2025-03-04_07-25-06,36465443,278.55181000000005
nanoGPT,2025-03-04_11-05-59,36472678,281.07622
nanoGPT,2025-03-04_11-52-54,36484465,365.51646999999997
nanoGPT,2025-03-04_19-12-37,36499150,277.79149
nanoGPT,2025-03-05_12-07-13,36509235,280.09772
nanoGPT,2025-03-05_14-40-25,36522587,277.7869199999999
nanoGPT,2025-03-05_14-48-26,36535126,343.51278
nanoGPT,2025-03-05_23-35-52,36554794,283.16381
nanoGPT,2025-03-06_03-37-28,36572272,276.0190999999999
nanoGPT,2025-03-06_08-27-34,36582695,274.17939999999993
nanoGPT,2025-03-06_10-36-57,36594132,315.4635000000001
nanoGPT,2025-03-07_00-54-35,36613482,277.6134300000001
nanoGPT,2025-03-07_01-02-47,36623636,277.1138
nanoGPT,2025-03-07_17-23-27,36631819,278.96079
nanoGPT,2025-03-07_18-56-52,36644631,279.023
nanoGPT,2025-03-08_00-31-41,36661215,313.35811000000007
nanoGPT,2025-03-08_09-08-03,36669220,309.08054999999996
nanoGPT,2025-03-14_19-26-27,36868340,277.72465
nanoGPT,2025-03-15_05-26-04,36873964,276.37537000000003
nanoGPT,2025-03-15_10-48-49,36878028,311.42174000000006
nanoGPT,2025-03-15_23-23-42,36886493,275.3879500000001
nanoGPT,2025-03-16_12-04-49,36901842,277.48917
nanoGPT,2025-03-16_12-33-09,36914010,277.70418
nanoGPT,2025-03-16_18-20-23,36928344,278.62697000000003
nanoGPT,2025-03-17_16-47-56,36942717,277.71179999999987
nanoGPT,2025-03-17_20-47-43,36957075,315.23778
nanoGPT,2025-03-17_22-45-51,36967719,277.09439999999995
nanoGPT,2025-03-18_16-54-54,36975557,277.87915999999996
nanoGPT,2025-03-18_16-55-34,36979950,277.95129999999995
nanoGPT,2025-03-18_17-32-18,36992785,281.72955
nanoGPT,2025-03-19_02-20-44,37005000,315.79449
nanoGPT,2025-03-19_13-36-02,37010116,281.72370000000006
nanoGPT,2025-03-20_03-05-43,37025478,313.50855
nanoGPT,2025-03-20_03-35-55,37036093,281.27117
nanoGPT,2025-03-20_12-51-17,37044731,275.12374
nanoGPT,2025-03-20_17-05-45,37056499,281.8213799999999
nanoGPT,2025-03-21_19-09-26,37069934,279.49534000000006
nanoGPT,2025-03-21_19-25-25,37078659,285.9540999999999
nanoGPT,2025-03-22_09-01-35,37089702,282.00543
nanoGPT,2025-03-22_13-40-24,37095463,316.62572
nanoGPT,2025-03-22_14-08-25,37102026,277.1884799999999
nanoGPT,2025-03-23_15-18-30,37108585,276.85927
nanoGPT,2025-03-23_16-50-06,37114608,277.23839
nanoGPT,2025-03-24_02-01-39,37118360,278.6082799999999
nanoGPT,2025-03-24_02-50-39,37124653,277.5306100000001
nanoGPT,2025-03-24_08-27-01,37136776,277.82583999999997
nanoGPT,2025-03-24_12-20-37,37143026,278.99186000000003
nanoGPT,2025-03-24_20-29-00,37153381,279.27177
nanoGPT,2025-03-25_10-28-43,37168772,310.9186100000001
nanoGPT,2025-03-25_12-37-48,37176444,277.85998
