Node,GPU,Time
nid001329,1,0.27485
nid003573,2,0.270296
nid002320,2,0.271233
nid001640,3,0.26911
nid002212,0,0.271084
nid001329,2,0.273629
nid003633,2,0.272079
nid001644,0,0.274662
nid003572,0,0.273086
nid001816,1,0.270422
nid001329,0,0.270828
nid003633,0,0.27476
nid001689,3,0.270967
nid001689,2,0.273636
nid001461,0,0.274949
nid001357,2,0.271
nid001357,0,0.27125
nid001689,1,0.27562
nid001312,1,0.271844
nid002212,3,0.276445
nid002320,3,0.274561
nid001344,0,0.273365
nid001357,3,0.273272
nid001640,2,0.273802
nid001644,1,0.27341
nid001640,1,0.273144
nid001344,2,0.275074
nid001312,0,0.276237
nid002212,1,0.277408
nid002320,0,0.277774
nid001689,0,0.280554
nid003140,0,0.267428
nid003144,3,0.266466
nid003141,1,0.267692
nid002156,2,0.268455
nid002464,3,0.268784
nid003516,2,0.271436
nid002157,3,0.270635
nid002464,1,0.270625
nid002156,3,0.271096
nid002156,1,0.269593
nid003144,2,0.270098
nid002468,0,0.273283
nid002932,2,0.27187
nid002892,3,0.267433
nid002153,1,0.269868
nid002932,1,0.273772
nid003520,3,0.265995
nid003516,1,0.272641
nid002153,0,0.272133
nid002153,3,0.272104
nid002888,2,0.272834
nid003141,2,0.274583
nid002156,0,0.273296
nid002892,2,0.273018
nid002465,3,0.2707
nid003517,0,0.276531
nid003516,0,0.269326
nid002153,2,0.273895
nid003141,3,0.275119
nid002465,2,0.269424
nid002468,2,0.274545
nid003520,2,0.271789
nid003520,0,0.270505
nid003144,0,0.270076
nid002468,3,0.272688
nid002892,0,0.270628
nid002465,1,0.271364
nid002464,2,0.275986
nid002932,0,0.271208
nid002468,1,0.272377
nid002888,0,0.273795
nid003140,3,0.271417
nid002465,0,0.273984
nid003140,2,0.274996
nid002157,2,0.276055
nid002889,2,0.272214
nid003516,3,0.27185
nid003520,1,0.271687
nid002888,3,0.27393
nid003140,1,0.272545
nid003517,1,0.272911
nid002889,1,0.274503
nid002157,0,0.273957
nid002888,1,0.272643
nid003517,3,0.270076
nid002157,1,0.274561
nid002464,0,0.274463
nid002889,3,0.272577
nid002932,3,0.275225
nid003144,1,0.275152
nid003517,2,0.275768
nid003141,0,0.276592
nid002892,1,0.282381
nid002889,0,0.27798
nid008521,3,0.254317
nid008517,3,0.255058
nid008517,0,0.255567
nid008473,1,0.253147
nid008520,1,0.255109
nid008596,1,0.255179
nid008593,0,0.25623
nid008360,3,0.254008
nid008424,1,0.254833
nid008593,2,0.255186
